name,creation_date,founding_date,invitation_only,college
the Abbots,2022-06-01,1900-01-01,true,1
the Assasins,2022-06-01,1900-01-01,true,1
the Delilahs,2022-06-01,1900-01-01,true,1
the Gridiron Club,2022-06-01,1884-01-01,true,1
the Piers Gaveston Society,2022-06-01,1977-01-01,true,1
the Stoics,2022-06-01,1900-01-01,true,1
the Viceroys,2022-06-01,1900-01-01,true,1
Porcellian Club,2022-06-01,1791-01-01,true,2
Delphic Club,2022-06-01,1791-01-01,true,2
Fox Club,2022-06-01,1896-01-01,true,2
The Pleiades Society,2022-06-01,2002-01-01,true,2
